metric	kind	norm	mean_mode	proj	gran	opt	regime	seed	acc	val	epoch	probe	mabs	g_h0	g_h1	g_out	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
standard	vecproj	0	cumulative	random	neuron	adam	single-task	42	0.9584	0.9628	6	nan	0.790063	0.446089	0.438163	0.397558	478410	25920	0.0542	0	1	1	1	0
standard	vecproj	0	trueavg	learned	neuron	adam	single-task	42	0.9749	0.9765	2	nan	0.790071	0.308213	0.308604	0.142552	478410	25920	0.0542	0	1	1	1	0
standard	vecproj	0	trueavg	random	neuron	adam	single-task	42	0.957	0.9584	6	nan	0.790071	0.446093	0.438168	0.397563	478410	25920	0.0542	0	1	1	1	0
standard	vecproj	0	ema+trueavg	learned	neuron	adam	single-task	42	0.976	0.9756	6	nan	0.790225	0.307771	0.305172	0.137293	478410	25920	0.0542	0	1	1	1	0
standard	vecproj	0	ema+trueavg	random	neuron	adam	single-task	42	0.9578	0.9594	6	nan	0.790225	0.446359	0.438599	0.399908	478410	25920	0.0542	0	1	1	1	0
standard	vecproj	1	ema	learned	neuron	adam	single-task	42	0.9775	0.9777	6	nan	0.784076	0.044448	0.0410033	0.025646	478410	810	0.0017	0	1	1	1	0
standard	vecproj	1	ema	random	neuron	adam	single-task	42	0.9785	0.9779	5	nan	0.784076	0.0628043	0.0641582	0.0654723	478410	810	0.0017	0	1	1	1	0
standard	vecproj	1	cumulative	learned	neuron	adam	single-task	42	0.9798	0.9773	5	nan	0.777654	0.0411653	0.0422292	0.0317086	478410	810	0.0017	0	1	1	1	0
standard	vecproj	1	cumulative	random	neuron	adam	single-task	42	0.9758	0.9769	5	nan	0.777654	0.0622899	0.0636328	0.0649361	478410	810	0.0017	0	1	1	1	0
standard	vecproj	1	trueavg	learned	neuron	adam	single-task	42	0.9785	0.9768	5	nan	0.777613	0.0416213	0.040188	0.0288772	478410	810	0.0017	0	1	1	1	0
standard	vecproj	1	trueavg	random	neuron	adam	single-task	42	0.9753	0.9747	4	nan	0.777613	0.0622867	0.0636294	0.0649326	478410	810	0.0017	0	1	1	1	0
standard	vecproj	1	ema+trueavg	learned	neuron	adam	single-task	42	0.9775	0.9777	6	nan	0.771755	0.0437495	0.040359	0.025243	478410	810	0.0017	0	1	1	1	0
standard	vecproj	1	ema+trueavg	random	neuron	adam	single-task	42	0.9785	0.9781	5	nan	0.788284	0.0631414	0.0645026	0.0658237	478410	810	0.0017	0	1	1	1	0
