######## STANDARD (full MNIST) ########
After task 5/5 | seen tasks: [0.915, 0.796, 0.805, 0.860, 0.988]

avg_final_acc=0.8727 | forgetting=0.1202
>>> er two_hidden_output      acc=0.8790±0.0055 forget=0.1151

==== DIRECT-GAIN SUMMARY (3 seeds 42/43/44) ====
[standard] vanilla=0.9796  pt1 gain=0.9806
  std  last_hidden            0.9801±0.0010  (vs vanilla +0.0005)
  std  two_hidden             0.9801±0.0007  (vs vanilla +0.0005)
  std  last_hidden_output     0.9798±0.0006  (vs vanilla +0.0002)
  std  two_hidden_output      0.9756±0.0012  (vs vanilla -0.0040)
[class-IL] Naive=0.1979  ER=0.9023
  A naive last_hidden            0.1978±0.0007  (vs Naive -0.0001)  forget=0.7978
  A naive two_hidden             0.1966±0.0008  (vs Naive -0.0013)  forget=0.7971
  A naive last_hidden_output     0.1990±0.0011  (vs Naive +0.0011)  forget=0.7955
  A naive two_hidden_output      0.1983±0.0017  (vs Naive +0.0004)  forget=0.7939
  B +ER   last_hidden            0.9046±0.0043  (vs ER +0.0023)  forget=0.0906
  B +ER   two_hidden             0.8861±0.0035  (vs ER -0.0162)  forget=0.1088
  B +ER   last_hidden_output     0.8730±0.0016  (vs ER -0.0293)  forget=0.1215
  B +ER   two_hidden_output      0.8790±0.0055  (vs ER -0.0233)  forget=0.1151
