ne|emb_all|buf-own|sgd|std0	0.5197	nan	nan	1.2625	1.3658	2.1806
ne|emb_all|buf-own|adam|std0	0.3324	nan	nan	1.4266	1.5222	1.1083
ne|vec_h1|er-own|sgd|std1	0.8627	nan	nan	0.0384	0.0417	0.7774
ne|vec_h1|er-own|adam|std1	0.8530	nan	nan	0.6937	1.4147	1.6140
ne|vec_h1|nobuf|sgd|std1	0.4679	nan	nan	0.0480	0.0551	0.8661
ne|vec_h1|nobuf|adam|std1	0.2030	nan	nan	8.1901	15.1739	23.3075
ne|vec_h1|buf-own|sgd|std1	0.5148	nan	nan	2.9858	3.2326	1.2913
ne|vec_h1|buf-own|adam|std1	0.2169	nan	nan	1.9594	3.7030	3.3460
ne|vec_h1|er-own|sgd|std0	0.8255	nan	nan	0.0092	0.0104	0.4340
ne|vec_h1|er-own|adam|std0	0.8592	nan	nan	0.3419	0.6218	0.3611
ne|vec_h1|nobuf|sgd|std0	0.4996	nan	nan	0.0148	0.0155	0.0951
ne|vec_h1|nobuf|adam|std0	0.1886	nan	nan	0.3074	0.7219	0.3829
ne|vec_h1|buf-own|sgd|std0	0.5438	nan	nan	1.6997	1.7005	0.8954
ne|vec_h1|buf-own|adam|std0	0.3367	nan	nan	0.8004	1.1962	0.6830
ne|vec_h1proj|er-own|sgd|std1	0.8183	nan	nan	0.0111	0.0123	0.4710
ne|vec_h1proj|er-own|adam|std1	0.8744	nan	nan	0.1612	0.3131	0.1996
ne|vec_h1proj|nobuf|sgd|std1	0.4791	nan	nan	0.0167	0.0178	0.1301
ne|vec_h1proj|nobuf|adam|std1	0.3269	nan	nan	0.1772	0.2651	0.1773
ne|vec_h1proj|buf-own|sgd|std1	0.4490	nan	nan	1.7648	1.8580	0.9605
ne|vec_h1proj|buf-own|adam|std1	0.4134	nan	nan	0.5084	0.9415	0.8529
ne|vec_h1proj|er-own|sgd|std0	0.7678	nan	nan	0.0026	0.0030	0.1572
ne|vec_h1proj|er-own|adam|std0	0.8770	nan	nan	0.1989	0.3193	0.2607
ne|vec_h1proj|nobuf|sgd|std0	0.6217	nan	nan	0.0012	0.0013	0.0048
ne|vec_h1proj|nobuf|adam|std0	0.2645	nan	nan	0.1754	0.2706	0.1472
ne|vec_h1proj|buf-own|sgd|std0	0.4916	nan	nan	0.9190	0.9662	0.5762
ne|vec_h1proj|buf-own|adam|std0	0.3433	nan	nan	0.3905	0.8448	0.6050
ne|vec_x|er-own|sgd|std1	0.8594	nan	nan	0.0595	0.0671	1.8175
ne|vec_x|er-own|adam|std1	0.8363	nan	nan	18.8088	33.1480	40.9254
ne|vec_x|nobuf|sgd|std1	0.4619	nan	nan	0.1136	0.1409	2.2362
ne|vec_x|nobuf|adam|std1	0.2828	nan	nan	48.1824	88.4444	115.3716
ne|vec_x|buf-own|sgd|std1	0.0980	nan	nan	nan	nan	nan
ne|vec_x|buf-own|adam|std1	0.3240	nan	nan	59.6833	123.3076	119.0705
ne|vec_x|er-own|sgd|std0	0.8637	nan	nan	0.0517	0.0571	1.1972
ne|vec_x|er-own|adam|std0	0.8306	nan	nan	1.5208	2.6195	2.5383
ne|vec_x|nobuf|sgd|std0	0.4583	nan	nan	0.0435	0.0526	0.8694
ne|vec_x|nobuf|adam|std0	0.4575	nan	nan	1.4850	2.9783	1.6799
ne|vec_x|buf-own|sgd|std0	0.5406	nan	nan	3.4482	3.6077	2.1248
ne|vec_x|buf-own|adam|std0	0.4563	nan	nan	1.4849	2.9148	2.3920
