regime	mech	metric	opt	driver	arm	seed	acc	forget	probe	g_h0	g_h1	g_out	msd	n_miss	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	gain	taskil	adam	grad_weight_ratio	live	42	0.994005	0.004100	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000	478410.000000	2430.000000	0.005100	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	gain	taskil	adam	step_norm	live	42	0.995287	0.002821	0.211500	0.000000	0.000000	0.000000	0.000000	1.000000	478410.000000	2430.000000	0.005100	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	gain	taskil	adam	state01	live	42	0.995195	0.003111	0.448700	0.169803	0.150361	0.153149	0.023895	0.000000	478410.000000	4860.000000	0.010200	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	slope	classil	adam	act_frac	live	42	0.900908	0.093838	0.461300	0.033149	0.033544	0.000000	0.035294	0.000000	478410.000000	4.000000	0.000000	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	slope	classil	adam	act_norm	live	42	0.900019	0.094731	0.328600	0.072928	0.075662	0.000000	0.302791	0.000000	478410.000000	4.000000	0.000000	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	slope	classil	adam	act_entropy	live	42	0.898728	0.095612	0.460100	0.038874	0.040003	0.000000	0.025339	0.000000	478410.000000	4.000000	0.000000	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	slope	classil	adam	act_pr	live	42	0.894874	0.098947	0.356100	0.020425	0.020605	0.000000	0.028162	0.000000	478410.000000	4.000000	0.000000	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	slope	classil	adam	w_fro	live	42	0.896345	0.098407	0.211500	0.000341	0.000211	0.000000	0.000000	0.000000	478410.000000	6.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	slope	classil	adam	w_l1	live	42	0.899718	0.094328	0.211500	0.001523	0.001612	0.000000	0.000000	0.000000	478410.000000	6.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	slope	classil	adam	w_absmean	live	42	0.898891	0.094848	0.211500	0.000912	0.001001	0.000000	0.000000	0.000000	478410.000000	6.000000	0.000000	3144000.000000	1.000000	1.000000	1.000000	0.000000
